;alias;group;group_idx;tab;dependencies;module;subject_args;project_args;additional_args;tooltip
plot_epochs;plot_epochs;sensor_space_plots;;Plot;;plot;name,save_dir;figures_path;highpass,lowpass,save_plots;
plot_epochs_image;plot_epochs_image;sensor_space_plots;;Plot;;plot;name,save_dir;figures_path;highpass,lowpass,save_plots;
plot_epochs_topo;plot_epochs_topo;sensor_space_plots;;Plot;;plot;name,save_dir;figures_path;highpass,lowpass,save_plots;
plot_epochs_drop_log;plot_epochs_drop_log;sensor_space_plots;;Plot;;plot;name,save_dir;figures_path;highpass,lowpass,save_plots;
plot_evoked_topo;plot_evoked_topo;sensor_space_plots;;Plot;;plot;name,save_dir;figures_path;highpass,lowpass,save_plots;
plot_evoked_topomap;plot_evoked_topomap;sensor_space_plots;;Plot;;plot;name,save_dir;figures_path;highpass,lowpass,save_plots;
plot_evoked_butterfly;plot_evoked_butterfly;sensor_space_plots;;Plot;;plot;name,save_dir;figures_path;highpass,lowpass,save_plots;
plot_evoked_field;plot_evoked_field;sensor_space_plots;;Plot;;plot;name,save_dir,subtomri;subjects_dir,figures_path;highpass,lowpass,save_plots,mne_evoked_time,n_jobs;
plot_evoked_joint;plot_evoked_joint;sensor_space_plots;;Plot;;plot;name,save_dir;figures_path;highpass,lowpass,save_plots;
plot_evoked_white;plot_evoked_white;sensor_space_plots;;Plot;;plot;name,save_dir,ermsub;figures_path;highpass,lowpass,save_plots,erm_noise_cov,calm_noise_cov;
plot_evoked_image;plot_evoked_image;sensor_space_plots;;Plot;;plot;name,save_dir;figures_path;highpass,lowpass,save_plots;
plot_evoked_h1h2;plot_evoked_h1h2;sensor_space_plots;;Plot;;plot;name,save_dir;figures_path;highpass,lowpass,event_id,save_plots;
plot_gfp;plot_gfp;sensor_space_plots;;Plot;;plot;name,save_dir;figures_path;highpass,lowpass,save_plots;
plot_stc;plot_stc;source_space_plots;;Plot;;plot;name,save_dir,subtomri;subjects_dir,figures_path;highpass,lowpass,inverse_method,mne_evoked_time,event_id,stc_interactive,save_plots;
plot_normal_stc;plot_normal_stc;source_space_plots;;Plot;;plot;name,save_dir,subtomri;subjects_dir,figures_path;highpass,lowpass,inverse_method,mne_evoked_time,event_id,stc_interactive,save_plots;
plot_vector_stc;plot_vector_stc;source_space_plots;;Plot;;plot;name,save_dir,subtomri;subjects_dir,figures_path;highpass,lowpass,inverse_method,mne_evoked_time,event_id,stc_interactive,save_plots;
plot_mixn;plot_mixn;source_space_plots;;Plot;;plot;name,save_dir,subtomri;subjects_dir,figures_path;highpass,lowpass,mne_evoked_time,event_id,stc_interactive,save_plots,mixn_dip,parcellation;
plot_animated_stc;plot_animated_stc;source_space_plots;;Plot;;plot;name,save_dir,subtomri;subjects_dir,figures_path;highpass,lowpass,inverse_method,stc_animation,event_id,ev_ids_label_analysis;
plot_snr;plot_snr;source_space_plots;;Plot;;plot;name,save_dir;figures_path;highpass,lowpass,save_plots,inverse_method,event_id;
plot_label_time_course;plot_label_time_course;source_space_plots;;Plot;;plot;name,save_dir,subtomri;subjects_dir,figures_path;highpass,lowpass,inverse_method,source_space_method,target_labels,save_plots,parcellation,event_id,ev_ids_label_analysis;
label_power_phlck;label_power_phlck;source_space_operations;;Compute;;operations;name,save_dir,subtomri,save_dir;figures_path;highpass,lowpass,baseline,tfr_freqs,target_labels,parcellation,ev_ids_label_analysis,n_jobs;
plot_label_power_phlck;plot_label_power_phlck;source_space_plots;;Plot;;plot;name,save_dir,subtomri;figures_path;highpass,lowpass,parcellation,baseline,tfr_freqs,save_plots,n_jobs,target_labels,ev_ids_label_analysis;
source_space_connectivity;source_space_connectivity;source_space_operations;;Compute;;operations;name,save_dir,subtomri;subjects_dir;highpass,lowpass,parcellation,target_labels,con_methods,con_fmin,con_fmax,n_jobs,overwrite,enable_ica,ev_ids_label_analysis;
plot_source_space_connectivity;plot_source_space_connectivity;source_space_plots;;Plot;;plot;name,save_dir,subtomri;subjects_dir,figures_path;highpass,lowpass,parcellation,target_labels,con_methods,con_fmin,con_fmax,save_plots,ev_ids_label_analysis;
corr_ntr;corr_ntr;sensor_space_plots;;Plot;;operations;name,save_dir,ermsub,subtomri;func_dict,figures_path;highpass,lowpass,enable_ica,save_plots;
pp_alignment;pp_alignment;pinprick_functions;;Compute;;pinprick;ab_dict,cond_dict;sub_dict,data_path,pscripts_path,subjects_dir,figures_path;highpass,lowpass,event_id,inverse_method,source_space_method,parcellation;
cmp_label_time_course;cmp_label_time_course;source_space_plots;;Plot;;plot;comp_dict;data_path,sub_dict,subjects_dir,figures_path,pscripts_path,func_dict;highpass,lowpass,inverse_method,source_space_method,parcellation,target_labels,save_plots,event_id,ev_ids_label_analysis,combine_ab;
sub_func_label_analysis;sub_func_label_analysis;source_space_plots;;Plot;;plot;sub_files_dict;pscripts_path,figures_path,func_dict;highpass,lowpass,etmax,label_origin,ev_ids_label_analysis,save_plots;
all_func_label_analysis;all_func_label_analysis;source_space_plots;;Plot;;plot;sel_files;pscripts_path,figures_path;highpass,lowpass,etmax,label_origin,ev_ids_label_analysis,save_plots;
grand_avg_evokeds;grand_avg_evokeds;grand_average_operations;;Compute;;operations;grand_avg_dict;data_path,save_dir_averages,func_dict,quality;highpass,lowpass,ana_h1h2;
pp_combine_evokeds_ab;pp_combine_evokeds_ab;pinprick_functions;;Compute;;pinprick;ab_dict;data_path,save_dir_averages;highpass,lowpass;
grand_avg_tfr;grand_avg_tfr;grand_average_operations;;Compute;;operations;grand_avg_dict;data_path,save_dir_averages;highpass,lowpass,tfr_method;
grand_avg_morphed;grand_avg_morphed;grand_average_operations;;Compute;;operations;grand_avg_dict;data_path,save_dir_averages;inverse_method,highpass,lowpass,event_id;
grand_avg_normal_morphed;grand_avg_normal_morphed;grand_average_operations;;Compute;;operations;grand_avg_dict;data_path,save_dir_averages;inverse_method,highpass,lowpass,event_id;
grand_avg_connect;grand_avg_connect;grand_average_operations;;Compute;;operations;grand_avg_dict;data_path,save_dir_averages;con_methods,con_fmin,con_fmax,lowpass,highpass;
grand_avg_label_power;grand_avg_label_power;grand_average_operations;;Compute;;operations;grand_avg_dict;data_path,save_dir_averages;ev_ids_label_analysis,highpass,lowpass,target_labels;
grand_avg_func_labels;grand_avg_func_labels;grand_average_operations;;Compute;;operations;grand_avg_dict;save_dir_averages,subjects_dir,pscripts_path,figures_path;highpass,lowpass,event_id,ev_ids_label_analysis,source_space_method,parcellation_orig,save_plots,label_origin,n_std;
plot_grand_avg_evokeds;plot_grand_avg_evokeds;grand_average_plots;;Plot;;plot;grand_avg_dict;save_dir_averages,figures_path,quality;highpass,lowpass,event_id,save_plots;
plot_grand_avg_evokeds_h1h2;plot_grand_avg_evokeds_h1h2;grand_average_plots;;Plot;;plot;grand_avg_dict;save_dir_averages,figures_path,quality;highpass,lowpass,event_id,save_plots;
plot_evoked_compare;plot_evoked_compare;sensor_space_plots;;Plot;;plot;comp_dict;data_path,save_dir_averages;highpass,lowpass,combine_ab,event_id;
plot_grand_avg_tfr;plot_grand_avg_tfr;grand_average_plots;;Plot;;plot;grand_avg_dict;save_dir_averages,figures_path;highpass,lowpass,baseline,t_epoch,event_id,save_plots;
plot_grand_avg_stc;plot_grand_avg_stc;grand_average_plots;;Plot;;plot;grand_avg_dict;save_dir_averages,subjects_dir,figures_path;highpass,lowpass,mne_evoked_time,morph_to,event_id,save_plots;
plot_grand_avg_stc_anim;plot_grand_avg_stc_anim;grand_average_plots;;Plot;;plot;grand_avg_dict;save_dir_averages,subjects_dir,figures_path;highpass,lowpass,stc_animation,morph_to,event_id;
plot_grand_avg_connect;plot_grand_avg_connect;grand_average_plots;;Plot;;plot;grand_avg_dict;save_dir_averages,subjects_dir,figures_path;highpass,lowpass,morph_to,parcellation,con_methods,con_fmin,con_fmax,save_plots,ev_ids_label_analysis,target_labels;
plot_grand_avg_label_power;plot_grand_avg_label_power;grand_average_plots;;Plot;;plot;grand_avg_dict;save_dir_averages,figures_path;ev_ids_label_analysis,target_labels,tfr_freqs,t_epoch,lowpass,highpass,save_plots;
statistics_source_space;statistics_source_space;grand_average_operations;;Compute;;operations;morphed_data_all;save_dir_averages;independent_variable_1,independent_variable_2,time_window,n_permutations,highpass,lowpass,overwrite;
